10052177,2013-07-01,48583,Power Systems Operation and Protection,65
10052177,2014-03-01,48561,Power Electronics and Drives,82
10052177,2014-07-01,48521,Fundamentals of Electrical Engineering,68
10153005,2011-03-01,48230,Engineering Communication,68
10154274,2014-07-01,48310,Introduction to Civil and Environmental Engineering,12
10167625,2010-07-01,48230,Engineering Communication,69
10167625,2011-03-01,48740,Communications Networks,63
10169744,2009-03-01,48230,Engineering Communication,21
10184063,2012-03-01,48230,Engineering Communication,94
10184063,2012-03-01,48310,Introduction to Civil and Environmental Engineering,61
10184063,2012-07-01,48340,Construction,77
10184063,2012-07-01,68037,Physical Modelling,69
10184063,2013-03-01,48320,Surveying,75
10184063,2013-03-01,48321,Engineering Mechanics,65
10184063,2013-03-01,60101,Chemistry and Materials Science,72
10184063,2013-07-01,48221,Engineering Computations,57
10184063,2013-07-01,48240,Design and Innovation Fundamentals,75
10184063,2013-07-01,48331,Mechanics of Solids,67
10184063,2014-03-01,48250,Engineering Economics and Finance,93
10184063,2014-03-01,48349,Structural Analysis,85
10184063,2014-03-01,48352,Construction Materials,68
10184063,2014-07-01,48260,Engineering Project Management,69
10184063,2014-07-01,48330,Soil Behaviour,75
10184063,2014-07-01,48350,Environmental and Sanitation Engineering,68
10184063,2014-07-01,48353,Concrete Design,70
10184063,2015-03-01,48360,Geotechnical Engineering,70
10184063,2015-03-01,48366,Steel and Timber Design,63
10184063,2015-03-01,48641,Fluid Mechanics,62
10184063,2015-07-01,48270,Entrepreneurship and Commercialisation,85
10184063,2015-07-01,48370,Road and Transport Engineering,87
10184063,2015-07-01,48389,Computer Modelling and Design,91
10184063,2016-03-01,48362,Hydraulics and Hydrology,82
10184063,2016-03-01,48850,Environmental Planning and Law,82
10188516,2013-07-01,48440,Software Engineering Practice,63
10188516,2014-07-01,31075,Object-relational Databases,50
10188516,2014-07-01,48433,Software Architecture,0
10188516,2015-07-01,31005,Advanced Data Analytics,20
10328490,2016-03-01,48240,Design and Innovation Fundamentals,92
10328490,2016-03-01,48510,Introduction to Electrical Engineering,61
10328490,2016-07-01,48310,Introduction to Civil and Environmental Engineering,69
10337018,2014-07-01,48440,Software Engineering Practice,0
10409086,2009-07-01,48230,Engineering Communication,89
10419479,2013-03-01,48240,Design and Innovation Fundamentals,44
10419479,2013-03-01,48430,Embedded C,15
10419479,2013-03-01,48510,Introduction to Electrical Engineering,16
10428480,2012-07-01,31080,Digital Multimedia,62
10433973,2008-03-01,48230,Engineering Communication,70
10433973,2008-03-01,48310,Introduction to Civil Engineering,72
10433973,2008-03-01,68037,Physical Modelling,79
10433973,2008-07-01,48320,Surveying,80
10433973,2008-07-01,48321,Statics,87
10433973,2008-07-01,65111,Chemistry 1,67
10433973,2009-03-01,48221,Informatics: Visual Basic,89
10433973,2009-03-01,48331,Mechanics of Solids,77
10433973,2009-03-01,48340,Construction,75
10433973,2009-03-01,48641,Fluid Mechanics,84
10433973,2009-07-01,48330,Soil Behaviour,95
10433973,2009-07-01,48349,Structural Analysis,95
10433973,2009-07-01,48352,Construction Materials,76
10433973,2010-03-01,48250,Engineering Economics and Finance,52
10433973,2010-03-01,48366,Steel and Timber Design,71
10433973,2010-07-01,48270,Engineering Enterprise,65
10433973,2010-07-01,48353,Concrete Design,69
10433973,2010-11-01,48240,Design Fundamentals,76
10433973,2011-03-01,48210,"Interrogating Technology: Sustainability, Environment and Social Change",72
10433973,2011-03-01,48260,Engineering Project Management,73
10433973,2011-03-01,48360,Geotechnical Engineering,80
10433973,2011-07-01,48362,Hydraulics and Hydrology,79
10433973,2011-07-01,48370,Road and Transport Engineering,90
10433973,2011-07-01,48389,Computer Modelling and Design,77
10433973,2012-03-01,48350,Environmental and Sanitation Engineering,72
10460653,2010-07-01,48651,Thermodynamics,69
10460653,2011-03-01,48331,Mechanics of Solids,1
10460830,2009-07-01,48230,Engineering Communication,8
10460830,2009-07-01,48610,Introduction to Mechanical and Mechatronic Engineering,50
10460830,2010-03-01,48230,Engineering Communication,0
10460830,2010-03-01,48510,Introduction to Electrical Engineering,0
10460830,2010-07-01,48230,Engineering Communication,50
10460830,2011-03-01,48620,Fundamentals of Mechanical Engineering,36
10460830,2011-07-01,48221,Engineering Computations,1
10460830,2011-07-01,48620,Fundamentals of Mechanical Engineering,0
10460830,2011-07-01,48641,Fluid Mechanics,21
10460830,2013-03-01,48510,Introduction to Electrical Engineering,0
10460830,2013-03-01,48620,Fundamentals of Mechanical Engineering,3
10460830,2013-07-01,48510,Introduction to Electrical Engineering,4
10460830,2014-03-01,48240,Design and Innovation Fundamentals,57
10460830,2014-03-01,48510,Introduction to Electrical Engineering,8
10460830,2014-03-01,48621,Manufacturing Engineering,4
10460830,2014-07-01,48221,Engineering Computations,12
10460830,2014-07-01,48641,Fluid Mechanics,9
10460830,2014-07-01,48651,Thermodynamics,0
10469260,2010-03-01,48230,Engineering Communication,66
10469260,2010-03-01,48310,Introduction to Civil Engineering,65
10469260,2011-03-01,48320,Surveying,25
10469979,2011-07-01,31080,Digital Multimedia,93
10469979,2013-03-01,31102,Game Design Studio 1,0
10469979,2014-03-01,31102,Game Design Studio 1,0
10469979,2014-07-01,31103,Game Design Studio 2,0
10470755,2008-03-01,48310,Introduction to Civil Engineering,42
10470755,2008-03-01,48321,Statics,76
10470755,2008-03-01,60101,Chemistry and Materials Science,63
10470755,2008-07-01,48310,Introduction to Civil Engineering,65
10470755,2008-07-01,48320,Surveying,61
10470755,2008-07-01,48331,Mechanics of Solids,58
10470755,2008-07-01,48641,Fluid Mechanics,55
10470755,2009-03-01,48240,Design Fundamentals,61
10470755,2009-03-01,48330,Soil Behaviour,30
10470755,2009-03-01,48340,Construction,58
10470755,2009-03-01,48352,Construction Materials,35
10470755,2009-07-01,48250,Engineering Economics and Finance,63
10470755,2009-07-01,48330,Soil Behaviour,76
10470755,2009-07-01,48349,Structural Analysis,56
10470755,2009-07-01,48352,Construction Materials,50
10470755,2010-03-01,48210,"Interrogating Technology: Sustainability, Environment and Social Change",68
10470755,2010-03-01,48350,Environmental and Sanitation Engineering,65
10470755,2010-03-01,48353,Concrete Design,50
10553992,2008-03-01,48230,Engineering Communication,65
10553992,2008-03-01,48310,Introduction to Civil Engineering,68
10553992,2008-03-01,68037,Physical Modelling,67
10553992,2008-07-01,48320,Surveying,65
10553992,2008-07-01,48321,Statics,52
10553992,2008-07-01,60101,Chemistry and Materials Science,50
10553992,2009-07-01,48221,Informatics: Visual Basic,50
10553992,2009-07-01,48240,Design Fundamentals,66
10553992,2009-07-01,48331,Mechanics of Solids,41
10553992,2009-07-01,48340,Construction,70
10553992,2010-03-01,48250,Engineering Economics and Finance,65
10553992,2010-03-01,48260,Engineering Project Management,59
10553992,2010-03-01,48331,Mechanics of Solids,54
10553992,2010-03-01,48641,Fluid Mechanics,65
10553992,2010-07-01,48330,Soil Behaviour,46
10553992,2010-07-01,48349,Structural Analysis,44
10553992,2010-07-01,48352,Construction Materials,63
10553992,2011-03-01,48210,"Interrogating Technology: Sustainability, Environment and Social Change",72
10553992,2011-03-01,48330,Soil Behaviour,63
10553992,2011-03-01,48349,Structural Analysis,58
10553992,2011-03-01,48362,Hydraulics and Hydrology,66
10553992,2012-07-01,48270,Entrepreneurship and Commercialisation,81
10553992,2012-07-01,48353,Concrete Design,55
10553992,2012-07-01,48360,Geotechnical Engineering,69
10553992,2012-07-01,48370,Road and Transport Engineering,70
10553992,2013-03-01,16912,Site Management,84
10553992,2013-03-01,48850,Environmental Planning and Law,78
10562256,2008-03-01,48320,Surveying,89
10562256,2008-03-01,60101,Chemistry and Materials Science,73
10562256,2008-03-01,68037,Physical Modelling,83
10562256,2008-07-01,48230,Engineering Communication,89
10562256,2008-07-01,48310,Introduction to Civil Engineering,85
10562256,2008-07-01,48321,Statics,85
10562256,2009-03-01,48221,Informatics: Visual Basic,90
10562256,2009-03-01,48240,Design Fundamentals,81
10562256,2009-03-01,48331,Mechanics of Solids,82
10562256,2009-03-01,48340,Construction,85
10562256,2009-07-01,48250,Engineering Economics and Finance,65
10562256,2010-03-01,48330,Soil Behaviour,93
10562256,2010-03-01,48349,Structural Analysis,91
10562256,2010-03-01,48352,Construction Materials,82
10562256,2010-03-01,48370,Transport in the Environment,81
10562256,2010-07-01,48260,Engineering Project Management,87
10562256,2010-07-01,48353,Concrete Design,84
10562256,2010-07-01,48641,Fluid Mechanics,74
10562256,2011-03-01,16912,Site Management,80
10562256,2011-03-01,48360,Geotechnical Engineering,76
10562256,2011-03-01,48366,Steel and Timber Design,87
10562256,2011-07-01,16314,Construction Technology 3,70
10562256,2011-07-01,16422,Construction Technology 4,91
10562256,2011-07-01,48270,Engineering Enterprise,73
10562256,2011-07-01,48362,Hydraulics and Hydrology,77
10562256,2012-03-01,48210,"Interrogating Technology: Sustainability, Environment and Social Change",80
10572992,2009-07-01,48510,Introduction to Electrical Engineering,0
10572992,2010-03-01,48230,Engineering Communication,59
10572992,2010-03-01,48510,Introduction to Electrical Engineering,0
10572992,2010-07-01,48240,Design Fundamentals,50
10572992,2010-07-01,48510,Introduction to Electrical Engineering,0
10572992,2010-07-01,48720,Network Fundamentals,0
10575037,2008-03-01,48320,Surveying,89
10575037,2008-03-01,48321,Statics,80
10575037,2008-03-01,68037,Physical Modelling,75
10575037,2008-07-01,48230,Engineering Communication,78
10575037,2008-07-01,48310,Introduction to Civil Engineering,80
10575037,2008-07-01,65111,Chemistry 1,85
10575037,2009-03-01,48221,Informatics: Visual Basic,85
10575037,2009-03-01,48240,Design Fundamentals,73
10575037,2009-03-01,48331,Mechanics of Solids,71
10575037,2009-03-01,48340,Construction,72
10575037,2010-03-01,48250,Engineering Economics and Finance,63
10575037,2010-03-01,48330,Soil Behaviour,65
10575037,2010-03-01,48352,Construction Materials,73
10575037,2010-03-01,48641,Fluid Mechanics,86
10575037,2010-07-01,48260,Engineering Project Management,66
10575037,2010-07-01,48362,Hydraulics and Hydrology,65
10575037,2010-07-01,48840,Water Supply and Wastewater Engineering,65
10575037,2011-03-01,48821,Ecological Engineering,89
10575037,2011-03-01,48850,Environmental Planning and Law,65
10575037,2011-03-01,48860,Pollution Control and Waste Management,66
10575037,2011-03-01,91161,Cell Biology and Genetics,79
10575037,2011-07-01,48270,Engineering Enterprise,70
10575037,2011-07-01,48349,Structural Analysis,76
10575037,2011-07-01,48370,Road and Transport Engineering,82
10575037,2012-07-01,48366,Steel and Timber Design,71
10575037,2012-07-01,48881,Water and Environmental Design,80
10575037,2013-03-01,48210,"Interrogating Technology: Sustainability, Environment and Social Change",83
10575037,2013-03-01,48353,Concrete Design,87
10575088,2008-03-01,48320,Surveying,63
10575088,2008-03-01,48321,Statics,62
10575088,2008-03-01,60101,Chemistry and Materials Science,69
10575088,2008-07-01,48230,Engineering Communication,76
10575088,2008-07-01,48310,Introduction to Civil Engineering,79
10575088,2008-07-01,68037,Physical Modelling,64
10575088,2009-03-01,48221,Informatics: Visual Basic,77
10575088,2009-03-01,48240,Design Fundamentals,65
10575088,2009-03-01,48331,Mechanics of Solids,57
10575088,2009-03-01,48340,Construction,80
10575088,2010-03-01,48250,Engineering Economics and Finance,76
10575088,2010-03-01,48330,Soil Behaviour,54
10575088,2010-03-01,48352,Construction Materials,68
10575088,2010-03-01,48641,Fluid Mechanics,70
10575088,2010-07-01,48260,Engineering Project Management,66
10575088,2010-07-01,48349,Structural Analysis,67
10575088,2010-07-01,48360,Geotechnical Engineering,57
10575088,2010-07-01,48370,Transport in the Environment,72
10575088,2011-03-01,48353,Concrete Design,40
10575088,2011-07-01,48353,Concrete Design,70
10575088,2012-03-01,48350,Environmental and Sanitation Engineering,65
10575088,2012-03-01,48366,Steel and Timber Design,67
10575088,2012-07-01,48389,Computer Modelling and Design,72
10575278,2011-03-01,31016,Career Management for IT Professionals,80
10579353,2009-03-01,48310,Introduction to Civil Engineering,43
10579353,2009-03-01,48321,Statics,38
10579353,2009-07-01,48230,Engineering Communication,70
10579353,2009-07-01,48641,Fluid Mechanics,50
10579353,2010-03-01,48240,Design Fundamentals,68
10579353,2010-03-01,48310,Introduction to Civil Engineering,51
10579353,2010-03-01,48321,Statics,58
10579353,2010-07-01,48221,Informatics: Visual Basic,50
10579353,2010-07-01,48260,Engineering Project Management,65
10579353,2010-07-01,48331,Mechanics of Solids,41
10579353,2010-07-01,48340,Construction,58
10579353,2011-03-01,48210,"Interrogating Technology: Sustainability, Environment and Social Change",70
10579353,2011-03-01,48331,Mechanics of Solids,50
10579353,2011-03-01,48352,Construction Materials,61
10579353,2011-07-01,48349,Structural Analysis,35
10579353,2011-07-01,48350,Environmental and Sanitation Engineering,56
10579353,2012-03-01,48330,Soil Behaviour,50
10579353,2012-07-01,48349,Structural Analysis,56
10579353,2012-07-01,48370,Road and Transport Engineering,62
10579353,2013-03-01,48353,Concrete Design,77
10579353,2013-03-01,48366,Steel and Timber Design,62
10579353,2013-07-01,48389,Computer Modelling and Design,56
10579353,2015-07-01,48320,Surveying,62
10579353,2015-07-01,48360,Geotechnical Engineering,68
10580316,2011-03-01,31016,Career Management for IT Professionals,70
10580316,2011-03-01,31097,IT Operations Management,67
10580342,2011-03-01,31097,IT Operations Management,69
10582219,2008-03-01,48230,Engineering Communication,71
10582219,2008-03-01,48310,Introduction to Civil Engineering,63
10599227,2008-03-01,48320,Surveying,73
10599227,2008-03-01,60101,Chemistry and Materials Science,55
10599227,2008-03-01,68037,Physical Modelling,63
10599227,2008-07-01,48230,Engineering Communication,82
10599227,2008-07-01,48310,Introduction to Civil Engineering,78
10599227,2008-07-01,48321,Statics,43
10599227,2009-03-01,48221,Informatics: Visual Basic,69
10599227,2009-03-01,48321,Statics,50
10599227,2009-03-01,48340,Construction,69
10599227,2009-07-01,48330,Soil Behaviour,35
10599227,2009-07-01,48331,Mechanics of Solids,25
10599227,2009-07-01,48352,Construction Materials,41
10599227,2009-07-01,48641,Fluid Mechanics,52
10599227,2010-07-01,48240,Design Fundamentals,66
10599227,2010-07-01,48330,Soil Behaviour,70
10599227,2010-07-01,48331,Mechanics of Solids,50
10599227,2010-07-01,48352,Construction Materials,59
10599227,2011-03-01,48260,Engineering Project Management,73
10599227,2011-03-01,48349,Structural Analysis,44
10599227,2011-03-01,48360,Geotechnical Engineering,62
